2014-01,1.12
2014-02,5.68
2014-03,-8.79
2014-04,-30.98
2014-05,-16.87
2014-06,-20.79
2014-07,-22.67
2014-08,-17.52
2014-09,-17.59
2014-10,1.87
2014-11,1.53
2014-12,-12.04
2015-01,10.53
2015-02,-28.26
2015-03,-3.58
2015-04,44.54
2015-05,2.10
2015-06,-3.23
2015-07,2.06
2015-08,2.90
2015-09,5.48
2015-10,-5.06
2015-11,16.26
2015-12,15.42
2016-01,11.01
2016-02,45.39
2016-03,0.32
2016-04,-8.20
2016-05,-3.00
2016-06,33.32
2016-07,29.74
2016-08,20.98
2016-09,-10.93
2016-10,27.38
2016-11,23.99
2016-12,41.69
2017-01,1.67
2017-02,31.58
2017-03,9.06
2017-04,-2.60
2017-05,7.57
2017-06,-13.44
2017-07,4.92
2017-08,-7.16
2017-09,50.85
2017-10,-0.19
2017-11,-17.24
2017-12,-23.54
2018-01,-15.06
2018-02,-31.09
2018-03,53.73
2018-04,1.56
2018-05,2.13
2018-06,-1.50
2018-07,6.69
2018-08,19.94
2018-09,-0.42
2018-10,4.90
2018-11,-0.71
2018-12,11.24
2019-01,10.69
2019-02,-12.42
2019-03,-11.72
2019-04,1.67
2019-05,2.61
2019-06,25.15
2019-07,2.92
2019-08,18.39
2019-09,8.19
