2014-01,8.14
2014-02,30.08
2014-03,74.64
2014-04,68.23
2014-05,72.95
2014-06,73.02
2014-07,67.24
2014-08,64.74
2014-09,74.27
2014-10,86.55
2014-11,76.63
2014-12,80.23
2015-01,66.16
2015-02,63.45
2015-03,38.45
2015-04,32.99
2015-05,30.25
2015-06,49.72
2015-07,49.54
2015-08,33.86
2015-09,19.29
2015-10,5.77
2015-11,1.55
2015-12,-30.84
2016-01,-20.00
2016-02,-22.11
2016-03,-22.95
2016-04,-27.36
2016-05,-23.90
2016-06,-29.61
2016-07,-12.64
2016-08,-9.12
2016-09,-10.19
2016-10,-12.06
2016-11,-8.75
2016-12,36.87
2017-01,17.88
2017-02,69.46
2017-03,20.01
2017-04,18.86
2017-05,11.72
2017-06,7.35
2017-07,-3.27
2017-08,3.95
2017-09,9.87
2017-10,10.66
2017-11,7.84
2017-12,-10.43
2018-01,-7.73
2018-02,-35.79
2018-03,-13.41
2018-04,-6.05
2018-05,14.96
2018-06,16.82
2018-07,20.00
2018-08,9.90
2018-09,1.38
2018-10,-7.18
2018-11,-28.64
2018-12,-33.86
2019-01,-4.65
2019-02,14.21
2019-03,24.92
2019-04,44.46
2019-05,16.39
2019-06,-9.58
2019-07,2.71
2019-08,17.60
2019-09,19.54
