2014-01,-0.03
2014-02,24.32
2014-03,30.39
2014-04,13.57
2014-05,21.61
2014-06,15.91
2014-07,11.87
2014-08,14.62
2014-09,10.67
2014-10,4.45
2014-11,-5.60
2014-12,1.31
2015-01,13.89
2015-02,3.35
2015-03,-25.49
2015-04,-14.37
2015-05,-25.89
2015-06,-20.05
2015-07,-13.56
2015-08,-16.88
2015-09,-14.76
2015-10,-12.78
2015-11,-14.65
2015-12,-18.71
2016-01,-26.06
2016-02,-20.86
2016-03,1.22
2016-04,-3.64
2016-05,-5.05
2016-06,-5.15
2016-07,-16.67
2016-08,-7.37
2016-09,-8.44
2016-10,-6.58
2016-11,-3.88
2016-12,2.67
2017-01,-17.84
2017-02,17.50
2017-03,-0.55
2017-04,-6.10
2017-05,7.52
2017-06,1.89
2017-07,9.67
2017-08,7.28
2017-09,14.34
2017-10,5.92
2017-11,24.52
2017-12,17.38
2018-01,62.66
2018-02,11.78
2018-03,20.46
2018-04,37.74
2018-05,34.08
2018-06,41.61
2018-07,33.68
2018-08,31.07
2018-09,32.67
2018-10,31.12
2018-11,14.87
2018-12,9.45
2019-01,16.78
2019-02,-7.12
2019-03,30.08
2019-04,17.34
2019-05,9.58
2019-06,-0.18
2019-07,11.28
2019-08,0.32
2019-09,-4.01
