2016-10,63.5,29.7,-7.6,679.79,-17.4,114.7,3.27
2016-11,82.2,29.3,-3.6,761.95,-16.1,114.7,3.27
2016-12,52.9,-35.6,-31.9,814.86,-17.4,114.7,3.27
2017-01,90.1,70.3,-0.1,90.09,-0.1,45.8,1.31
2017-02,52.6,-41.6,20.7,142.70,6.7,45.8,1.31
2017-03,92.5,75.9,-8.5,235.22,0.1,45.8,1.31
2017-04,70.1,-24.3,-9.1,305.29,-2.1,76.0,2.17
2017-05,71.2,1.6,-4.9,376.48,-2.7,76.0,2.17
2017-06,63.5,-10.9,5.3,439.93,-1.6,76.0,2.17
2017-07,54.0,-14.8,-9.0,493.97,-2.5,119.4,3.41
2017-08,81.3,50.4,33.6,575.23,1.4,119.4,3.41
2017-09,86.9,7.0,77.5,662.18,7.5,119.4,3.41
2017-10,61.8,-28.9,-2.7,724.01,6.5,145.9,4.16
2017-11,63.2,2.2,-23.1,787.19,3.3,145.9,4.16
2017-12,58.9,-6.8,11.4,846.11,3.8,145.9,4.16
2018-01,79.9,35.6,-11.3,79.89,-11.3,29.4,0.84
2018-02,50.6,-36.6,-3.8,130.51,-8.5,29.4,0.84
2018-03,70.5,39.3,-23.8,201.00,-14.6,29.4,0.84
2018-04,66.8,-5.2,-4.7,267.79,-12.3,60.3,1.72
2018-05,70.8,5.9,-0.6,338.55,-10.1,60.3,1.72
2018-06,60.5,-14.5,-4.7,399.01,-9.3,60.3,1.72
2018-07,52.0,-13.9,-3.7,451.06,-8.7,66.3,1.89
2018-08,62.1,19.4,-23.5,513.19,-10.8,66.3,1.89
2018-09,48.2,-22.5,-44.6,561.35,-15.2,66.3,1.89
2018-10,60.9,26.5,-1.5,622.28,-14.1,89.9,2.57
2018-11,46.4,-23.8,-26.5,668.72,-15.1,89.9,2.57
2018-12,67.0,44.2,13.6,735.67,-13.1,89.9,2.57
2019-01,71.0,6.1,-11.1,71.02,-11.1,19.9,0.57
2019-02,42.6,-40.1,-15.9,113.58,-13.0,19.9,0.57
2019-03,67.6,58.9,-4.1,181.19,-9.8,19.9,0.57
2019-04,63.3,-6.3,-5.2,244.51,-8.7,63.2,1.80
2019-05,81.1,28.1,14.7,325.63,-3.8,63.2,1.80
2019-06,65.0,-19.9,7.5,390.62,-2.1,63.2,1.80
2019-07,62.8,-3.4,20.6,453.40,0.5,--,--
2019-08,80.9,28.9,30.2,534.30,4.1,--,--
2019-09,70.9,-12.4,47.2,605.17,7.8,--,--
