2007,28.95,29.92,24.02,24.61,27.78,29.78,6.56
2008,14.55,1.95,-21.58,-28.22,-33.06,-29.03,-39.76
2009,0.45,9.23,13.91,21.27,34.73,37.28,18.82
2010,52.98,30.9,3.18,3.91,-1.19,1.94,-9.39
2011,15.2,9.08,-3.83,12.09,8.56,5.75,-4.49
2012,13.11,23.74,30.91,15.45,12.02,16.14,4.97
2013,1.2,-22.73,0.8,15.13,16.95,12.59,1.62
2014,6.6,14.63,30.99,27.75,23.42,22.34,8.46
2015,6.38,9.81,14.72,14.31,13.38,12.51,6.44
2016,-2.75,0.31,6.5,-0.55,0.77,1.22,-8.7
2017,7.98,-5.78,-35.65,-7.62,-10.56,-6.68,-6.86
2018,12.47,9.58,20.94,-6.9,-4.09,-6.97,0.25
