2016-10,237.3,-4.1,10.9,2451.60,6.3,487.4,5.86
2016-11,263.2,10.9,13.7,2714.81,7.0,487.4,5.86
2016-12,275.4,4.6,9.9,2965.71,6.2,487.4,5.86
2017-01,204.2,-25.9,-19.2,204.20,-19.2,93.5,1.12
2017-02,209.2,2.5,15.6,413.40,-4.7,93.5,1.12
2017-03,305.9,46.2,15.1,719.35,3.3,93.5,1.12
2017-04,265.7,-13.2,6.1,984.96,3.7,239.7,2.88
2017-05,263.4,-0.9,-3.8,1248.38,2.0,239.7,2.88
2017-06,281.1,6.7,12.8,1527.97,4.0,239.7,2.88
2017-07,256.0,-8.9,7.2,1785.53,4.3,399.1,4.80
2017-08,274.9,7.4,7.9,2060.46,4.8,399.1,4.80
2017-09,272.3,-1.0,10.0,2336.11,6.3,399.1,4.80
2017-10,277.8,2.0,17.1,2610.60,6.5,526.4,6.33
2017-11,279.0,0.4,6.0,2889.57,6.4,526.4,6.33
2017-12,291.6,4.5,5.9,3186.89,7.5,526.4,6.33
2018-01,296.9,1.8,45.4,296.90,45.4,78.2,0.94
2018-02,197.4,-33.5,-5.7,494.28,19.6,78.2,0.94
2018-03,292.0,47.9,-4.5,787.85,9.5,78.2,0.94
2018-04,284.8,-2.5,7.2,1071.12,8.8,208.8,2.51
2018-05,287.5,1.0,9.2,1358.64,8.8,208.8,2.51
2018-06,277.8,-3.4,-1.2,1638.15,7.2,208.8,2.51
2018-07,273.5,-1.6,6.8,1910.02,7.0,335.4,4.03
2018-08,270.9,-1.0,-1.5,2180.89,5.8,335.4,4.03
2018-09,266.6,-1.6,-2.1,2444.18,4.6,335.4,4.03
2018-10,258.2,-3.2,-7.1,2705.71,3.6,439.1,5.28
2018-11,246.9,-4.4,-11.5,2952.64,2.2,439.1,5.28
2018-12,268.6,8.8,-7.9,3211.76,0.8,439.1,5.28
2019-01,264.8,-1.4,-10.8,264.83,-10.8,96.7,1.16
2019-02,191.0,-27.9,-3.2,455.82,-7.8,96.7,1.16
2019-03,265.8,39.2,-9.0,724.05,-8.1,96.7,1.16
2019-04,289.7,9.0,1.7,1011.29,-5.6,225.4,2.71
2019-05,260.5,-10.1,-9.4,1271.77,-6.4,225.4,2.71
2019-06,234.9,-9.8,-15.5,1506.57,-8.0,225.4,2.71
2019-07,255.9,8.9,-6.5,1762.55,-7.7,--,--
2019-08,241.8,-5.5,-10.7,2004.34,-8.1,--,--
2019-09,248.0,2.6,-7.0,2252.35,-8.0,--,--
